003,102,106,107,108,109,111,112,114,116,118,119,120,121,122,200,202,203,204,205,206,207,208,209,211,212,213,214,215,216,300,302,303,304,305,306,307,308,309,311,312,313,314,315,316,400,401,402,403,404,405,406,407,411,412,413,414,415,B4,G04,G05,G06,G07,G08,G09,G10,G11,G14,G16,G17,G18,G19,G20,G21,G26
538,229,2233,1477,1375,1651,2016,202,955,1157,197,1939,794,1580,51,1234,357,841,1348,2195,1466,2196,1944,1514,1919,271,1458,1753,317,747,339,1657,1656,1806,2109,694,2271,623,589,880,252,2235,1052,1900,1765,597,347,1453,1538,1745,319,401,1845,515,477,827,87,1163,939,906,109,96,1972,569,572,208,2259,1360,128,1117,1714,2002,1286,526,1435
2267,1886,583,2102,189,601,2362,1058,1931,1039,1908,1640,56,695,2128,236,1501,724,2117,241,2088,969,2385,596,1152,1396,175,844,864,987,345,1118,67,1034,1970,1800,2127,1291,2121,1344,363,2370,850,1187,397,912,1988,1391,1999,1402,2321,765,1708,1229,1209,1557,971,668,877,763,447,1967,1242,615,3,1828,1201,2069,657,546,1368,1181,1013,421,240
291,297,2337,1459,775,915,619,1095,1154,2123,1159,1027,2299,220,2300,1189,819,270,2172,1369,228,1278,739,1505,604,1770,922,909,629,1245,146,2280,1372,1543,55,1667,1864,2158,1533,259,531,452,398,1352,542,1503,1019,2154,1911,1951,2257,233,543,1829,870,1003,1945,1298,209,1648,1481,294,1136,1096,2324,588,4,756,1464,23,675,1265,1757,490,1206
1329,185,2064,2325,1371,1645,1693,106,212,258,2022,118,2340,1992,1686,874,1674,2260,937,138,900,1447,722,551,1632,646,1831,1715,822,286,1784,396,450,2291,485,1902,742,792,1246,779,238,1965,1559,349,374,1772,150,703,1707,1751,1735,755,302,1343,1537,618,944,1923,1576,603,978,316,1471,1109,2381,1057,1572,1389,449,1850,1362,1585,1638,1655,2038
