,003,102,106,107,108,109,111,112,114,116,118,119,120,121,122,200,202,203,204,205,206,207,208,209,211,212,213,214,215,216,300,302,303,304,305,306,307,308,309,311,312,313,314,315,316,400,401,402,403,404,405,406,407,411,412,413,414,415,B4,G04,G05,G06,G07,G08,G09,G10,G11,G14,G16,G17,G18,G19,G20,G21,G26
temp,3,29,0,1,16,8,0,0,2,42,6,0,5,62,17,9,3,1,2,0,0,30,0,0,37,0,8,0,18,72,0,0,1,0,41,20,1,5,28,10,13,0,0,0,32,17,0,0,0,9,21,0,30,22,63,6,65,67,21,13,10,0,0,0,4,11,0,4,28,10,23,4,0,5,28
vent,47,0,2,0,0,0,0,0,0,13,0,11,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,47,2,0,0,96,0,0,0,3,0,0,0,0,0,0,5,0,0,3,0,0,14,9,0,0,0,0,0,0,0,47,0,9,3,0,0,0
set temp diff,3,14,0,0,16,2,12,0,2,42,0,0,21,60,17,9,3,1,2,0,0,30,0,3,37,0,88,0,32,71,0,0,1,0,41,20,1,4,33,10,0,0,0,0,36,0,0,0,0,9,21,0,0,0,63,0,65,67,21,13,0,2,0,0,0,2,0,3,8,0,42,5,0,5,31
vsp set diff,1,83,1,26,4,0,0,0,8,8,3,6,12,15,10,4,2,4,5,3,1,9,0,3,5,0,36,5,96,24,0,0,6,41,2,2,6,7,9,3,2,1,29,2,9,0,0,5,0,17,6,0,0,0,3,0,1,7,5,3,0,2,0,10,0,23,0,13,38,12,0,0,7,2,35
